open,high,low,close,tick_volume,date,time_only,noisy_day
3338.98,3344.9,3334.89,3338.93,7950,2025-07-02,00:00:00,False
3339.0,3342.89,3328.88,3340.11,12117,2025-07-02,04:00:00,False
3340.08,3343.86,3327.61,3333.59,13054,2025-07-02,08:00:00,False
3333.52,3351.12,3333.08,3346.64,13229,2025-07-02,12:00:00,False
3346.54,3349.19,3333.89,3348.65,15670,2025-07-02,16:00:00,False
3348.41,3360.1,3347.4,3356.93,10210,2025-07-02,20:00:00,False
3358.07,3365.74,3346.36,3346.38,5528,2025-07-03,00:00:00,False
3353.14,3355.33,3311.69,3324.47,14094,2025-07-03,12:00:00,False
3324.23,3338.44,3322.11,3333.88,17223,2025-07-03,16:00:00,False
3333.83,3334.8,3325.26,3325.92,5559,2025-07-03,20:00:00,False
3325.52,3332.02,3323.59,3328.96,6351,2025-07-04,00:00:00,False
3328.96,3329.22,3326.48,3327.68,277,2025-07-04,04:00:00,False
3337.62,3344.18,3336.94,3342.84,4360,2025-07-04,08:00:00,False
3342.82,3343.08,3331.42,3333.87,10063,2025-07-04,12:00:00,False
3333.94,3337.99,3330.88,3337.04,9577,2025-07-04,16:00:00,False
3335.92,3342.76,3321.76,3326.53,9053,2025-07-07,00:00:00,False
3326.56,3327.67,3305.35,3307.72,14733,2025-07-07,04:00:00,False
3307.75,3315.12,3300.69,3310.1,14705,2025-07-07,08:00:00,False
3309.95,3312.55,3296.45,3309.6,15665,2025-07-07,12:00:00,False
3309.57,3328.02,3306.21,3327.4,16340,2025-07-07,16:00:00,False
3327.42,3340.37,3327.42,3336.16,12210,2025-07-07,20:00:00,False
3338.99,3345.76,3331.29,3334.22,8572,2025-07-08,00:00:00,False
3334.08,3337.98,3327.51,3329.62,13289,2025-07-08,04:00:00,False
3329.56,3339.46,3323.35,3323.72,14910,2025-07-08,08:00:00,False
3323.67,3329.85,3320.06,3328.22,13925,2025-07-08,12:00:00,False
3328.2,3328.64,3287.13,3300.37,20235,2025-07-08,16:00:00,False
